,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
0,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2017,Число людей,установлен,нет,0
1,Абакан,Новосибирский,53.751561,91.400039,СФО,ВПП,9427,2017,Число людей,установлен,да,3504000
2,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,9635803,2017,Число людей,установлен,да,10220000
3,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,336329,2017,Число людей,установлен,да,799350
4,Азов,Ростовский,47.119011,39.417494,ЮФО,МПП,31503,2017,Число людей,установлен,да,0
5,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2017,Число людей,установлен,нет,0
6,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,432808,2017,Число людей,установлен,да,0
7,Александровск-Сахалинский,Владивостокский,50.894461,142.146687,ДФО,МПП,0,2017,Число людей,установлен,нет,0
8,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2017,Число людей,установлен,нет,0
9,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,20954,2017,Число людей,установлен,да,160640
10,Анадырь,Владивостокский,64.740179,177.507531,ДФО,МПП,146,2017,Число людей,установлен,да,0
11,Анадырь (Угольный),Владивостокский,64.713322,177.737705,ДФО,ВПП,325,2017,Число людей,установлен,да,0
12,Анапа,Сочинский,44.897531,37.304278,ЮФО,МПП,3546,2017,Число людей,установлен,да,0
13,Анапа (Витязево),Сочинский,45.002826,37.340337,ЮФО,ВПП,13087,2017,Число людей,установлен,да,0
14,Армянск,Крымский,46.136665,33.646077,ЮФО,АПП,1157566,2017,Число людей,установлен,да,1460000
15,Армянск,Крымский,46.115953,33.702811,ЮФО,ЖДПП,0,2017,Число людей,установлен,да,0
16,Архангельск,Мурманский,64.528454,40.54068,СЗФО,МПП,11082,2017,Число людей,установлен,да,0
17,Архангельск (Талаги),Мурманский,64.595784,40.710779,СЗФО,ВПП,107863,2017,Число людей,установлен,да,1051200
