,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
0,49.5833,117.8167,Абагайтуй,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Китайская Народная Республика
2,43.397314,40.002072,Адлер,ЮФО,АПП,9635803.0,2017,Число людей,Сочинский,установлен,да,Республика Абхазия
3,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,336329.0,2017,Число людей,Сочинский,установлен,да,Республика Абхазия
5,50.3678,103.279,Айнек-Гол,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Монголия
6,46.7337,48.0892,Аксарайский,ЮФО,ЖДПП,432808.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
8,49.8833,109.0667,Алтан,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Монголия
9,47.690284,131.073245,Амурзет,ДФО,СПП,20954.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
18,50.3099,90.0221,Аспайты,СФО,АПП,0.0,2017,Число людей,Новосибирский,установлен,нет,Монголия
21,54.372517,20.659173,Багратионовск,СЗФО,АПП,1015492.0,2017,Число людей,Калининградский,установлен,да,Республика Польша
22,54.3927,20.6475,Багратионовск,СЗФО,ЖДПП,0.0,2017,Число людей,Калининградский,установлен,нет,Республика Польша
24,50.368527,35.756453,Безымено,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина
25,52.3835,33.4804,Белая Березка,ЦФО,АПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина
27,50.593234,36.605675,Белгород,ЦФО,ЖДПП,533098.0,2017,Число людей,Белгородский,установлен,да,Украина
30,50.249853,127.554133,Благовещенск,ДФО,СПП,763641.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика
31,50.252764,127.547584,Благовещенск-1,ДФО,ППП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
33,48.347254,134.768252,Большой Уссурийский,ДФО,АПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика
34,69.655681,30.203183,Борисоглебск,СЗФО,АПП,270316.0,2017,Число людей,Мурманский,установлен,да,Королевство Норвегия
36,57.538718,27.471549,Брунишево,СЗФО,АПП,44676.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика
37,60.931202,28.560617,Брусничное,СЗФО,АПП,2676976.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
38,60.810182,28.737329,Брусничное (Сайменский канал),СЗФО,МПП,9916.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
40,53.213067,34.409548,Брянск-Льговский,ЦФО,ЖДПП,11870.0,2017,Число людей,Брянский,установлен,да,Украина
41,53.262436,34.405696,Брянск-Орловский,ЦФО,ЖДПП,658813.0,2017,Число людей,Брянский,установлен,да,Украина
43,54.006458,61.625926,Бугристое,УФО,АПП,1986085.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан
44,56.356309,28.197336,Бурачки,СЗФО,АПП,563537.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика
45,53.796262,61.157583,Бускульский,УФО,ЖДПП,0.0,2017,Число людей,Уральский,установлен,нет,Республика Казахстан
46,60.840635,28.378262,Бусловская,СЗФО,ЖДПП,11226.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика
51,50.3108,36.5807,Вергелевка,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина
52,50.197641,37.638937,Вериговка,ЦФО,АПП,165646.0,2017,Число людей,Белгородский,установлен,да,Украина
53,46.724082,48.22708,Верхний Баскунчак,ЮФО,ЖДПП,15523.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан
54,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2597753.0,2017,Число людей,Северо-Кавказский,установлен,да,Республика Грузия
55,49.5112,112.602049,Верхний Ульхун,ДФО,АПП,3791.0,2017,Число людей,Читинский,установлен,да,Монголия
