,Федеральный округ,Вид,Тип контроля,Процент контроля
0,ДФО,АПП,Таможенный,65.0
1,СФО,ВПП,Таможенный,83.0
2,ЮФО,АПП,Таможенный,63.0
3,ЮФО,ЖДПП,Таможенный,46.0
4,ЮФО,МПП,Таможенный,100.0
7,ДФО,МПП,Таможенный,76.0
9,ДФО,СПП,Таможенный,55.0
11,ДФО,ВПП,Таможенный,100.0
13,ЮФО,ВПП,Таможенный,91.0
16,СЗФО,МПП,Таможенный,93.0
17,СЗФО,ВПП,Таможенный,89.0
18,СФО,АПП,Таможенный,22.0
21,СЗФО,АПП,Таможенный,93.0
22,СЗФО,ЖДПП,Таможенный,78.0
24,ЦФО,АПП,Таможенный,68.0
26,ЦФО,ВПП,Таможенный,94.0
27,ЦФО,ЖДПП,Таможенный,64.0
31,ДФО,ППП,Таможенный,0.0
43,УФО,АПП,Таможенный,0.0
45,УФО,ЖДПП,Таможенный,0.0
54,СКФО,АПП,Таможенный,100.0
61,СКФО,ВПП,Таможенный,86.0
86,СКФО,ЖДПП,Таможенный,100.0
90,СФО,МПП,Таможенный,50.0
98,УФО,ВПП,Таможенный,80.0
104,ДФО,ЖДПП,Таможенный,86.0
111,СЗФО,ППП,Таможенный,100.0
113,ПФО,ВПП,Таможенный,87.0
114,ПФО,АПП,Таможенный,0.0
116,ПФО,ЖДПП,Таможенный,0.0
119,СФО,ЖДПП,Таможенный,0.0
185,СКФО,МПП,Таможенный,100.0
271,СЗФО,РПП,Таможенный,33.0
282,УФО,МПП,Таможенный,100.0
309,СЗФО,ОПП,Таможенный,0.0
351,ДФО,РПП,Таможенный,100.0
361,СФО,РПП,Таможенный,0.0
380,ДФО,АПП,Пограничный,65.0
381,СФО,ВПП,Пограничный,83.0
382,ЮФО,АПП,Пограничный,79.0
383,ЮФО,ЖДПП,Пограничный,77.0
384,ЮФО,МПП,Пограничный,100.0
387,ДФО,МПП,Пограничный,76.0
389,ДФО,СПП,Пограничный,55.0
391,ДФО,ВПП,Пограничный,100.0
393,ЮФО,ВПП,Пограничный,91.0
396,СЗФО,МПП,Пограничный,93.0
397,СЗФО,ВПП,Пограничный,89.0
398,СФО,АПП,Пограничный,89.0
401,СЗФО,АПП,Пограничный,93.0
402,СЗФО,ЖДПП,Пограничный,78.0
404,ЦФО,АПП,Пограничный,68.0
406,ЦФО,ВПП,Пограничный,94.0
407,ЦФО,ЖДПП,Пограничный,64.0
411,ДФО,ППП,Пограничный,0.0
423,УФО,АПП,Пограничный,100.0
425,УФО,ЖДПП,Пограничный,71.0
434,СКФО,АПП,Пограничный,100.0
441,СКФО,ВПП,Пограничный,86.0
466,СКФО,ЖДПП,Пограничный,100.0
470,СФО,МПП,Пограничный,50.0
478,УФО,ВПП,Пограничный,80.0
484,ДФО,ЖДПП,Пограничный,86.0
491,СЗФО,ППП,Пограничный,100.0
493,ПФО,ВПП,Пограничный,87.0
494,ПФО,АПП,Пограничный,100.0
496,ПФО,ЖДПП,Пограничный,100.0
499,СФО,ЖДПП,Пограничный,100.0
565,СКФО,МПП,Пограничный,100.0
651,СЗФО,РПП,Пограничный,33.0
662,УФО,МПП,Пограничный,100.0
689,СЗФО,ОПП,Пограничный,0.0
731,ДФО,РПП,Пограничный,100.0
741,СФО,РПП,Пограничный,100.0
760,ДФО,АПП,Санитарно-карантинный,65.0
761,СФО,ВПП,Санитарно-карантинный,83.0
762,ЮФО,АПП,Санитарно-карантинный,63.0
763,ЮФО,ЖДПП,Санитарно-карантинный,46.0
764,ЮФО,МПП,Санитарно-карантинный,100.0
767,ДФО,МПП,Санитарно-карантинный,76.0
769,ДФО,СПП,Санитарно-карантинный,55.0
771,ДФО,ВПП,Санитарно-карантинный,100.0
773,ЮФО,ВПП,Санитарно-карантинный,91.0
776,СЗФО,МПП,Санитарно-карантинный,86.0
777,СЗФО,ВПП,Санитарно-карантинный,89.0
778,СФО,АПП,Санитарно-карантинный,22.0
781,СЗФО,АПП,Санитарно-карантинный,80.0
782,СЗФО,ЖДПП,Санитарно-карантинный,72.0
784,ЦФО,АПП,Санитарно-карантинный,68.0
786,ЦФО,ВПП,Санитарно-карантинный,94.0
787,ЦФО,ЖДПП,Санитарно-карантинный,64.0
791,ДФО,ППП,Санитарно-карантинный,0.0
803,УФО,АПП,Санитарно-карантинный,0.0
805,УФО,ЖДПП,Санитарно-карантинный,0.0
814,СКФО,АПП,Санитарно-карантинный,100.0
821,СКФО,ВПП,Санитарно-карантинный,86.0
846,СКФО,ЖДПП,Санитарно-карантинный,100.0
850,СФО,МПП,Санитарно-карантинный,50.0
858,УФО,ВПП,Санитарно-карантинный,80.0
864,ДФО,ЖДПП,Санитарно-карантинный,86.0
871,СЗФО,ППП,Санитарно-карантинный,100.0
873,ПФО,ВПП,Санитарно-карантинный,87.0
874,ПФО,АПП,Санитарно-карантинный,0.0
876,ПФО,ЖДПП,Санитарно-карантинный,0.0
879,СФО,ЖДПП,Санитарно-карантинный,0.0
945,СКФО,МПП,Санитарно-карантинный,100.0
