,Наименование_пункта_пропуска,Филиал,latitude,longitude,Федеральный_округ,Вид,Количество,Год,Категория,Установлен___закрыт,Функционирует_не_функционирует,Сопредельное_государство,ANN,Распределение
0,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
1,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2022,Число людей,установлен,нет,Монголия,1.1012279987335205,Случайное
2,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,172351,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
3,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2022,Число людей,установлен,нет,Монголия,1.1012279987335205,Случайное
4,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,84,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
5,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2022,Число людей,установлен,нет,Монголия,1.1012279987335205,Случайное
6,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,49930,2022,Число людей,установлен,да,Республика Польша,1.893280029296875,Рассредоточенное
7,Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2022,Число людей,установлен,нет,Республика Польша,1.893280029296875,Рассредоточенное
8,Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
9,Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2022,Число людей,установлен,нет,Украина,0.548865020275116,Сгруппированное
10,Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,356,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
11,Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,4020,2022,Число людей,установлен,да,Китайская Народная Республика,0.5533769726753235,Сгруппированное
12,Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
13,Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2022,Число людей,установлен,нет,Китайская Народная Республика,0.5533769726753235,Сгруппированное
14,Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,54498,2022,Число людей,установлен,да,Королевство Норвегия,,
15,Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,7773,2022,Число людей,установлен,да,Латвийская Республика,1.4850120544433594,Рассредоточенное
16,Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,479978,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
17,Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,209,2022,Число людей,установлен,да,Финляндская Республика,1.2179160118103027,Рассредоточенное
18,Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,814,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
19,Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,0,2022,Число людей,установлен,да,Украина,0.548865020275116,Сгруппированное
20,Бугристое,Уральский,54.006458,61.625926,УФО,АПП,1454708,2022,Число людей,установлен,да,Республика Казахстан,0.43701401352882385,Сгруппированное
21,Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,366808,2022,Число людей,установлен,да,Латвийская Республика,1.4850120544433594,Рассредоточенное
22,Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2022,Число людей,установлен,нет,Республика Казахстан,0.43701401352882385,Сгруппированное
