,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту
0,49.5833,117.8167,Абагайтуй,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Китайская Народная Республика,0
1,53.751561,91.400039,Абакан,СФО,ВПП,9427.0,2017,Число людей,Новосибирский,установлен,да,не применимо,3504000
2,43.397314,40.002072,Адлер,ЮФО,АПП,9635803.0,2017,Число людей,Сочинский,установлен,да,Республика Абхазия,10220000
3,43.40274645,39.99306761,Адлер,ЮФО,ЖДПП,336329.0,2017,Число людей,Сочинский,установлен,да,Республика Абхазия,799350
4,47.119011,39.417494,Азов,ЮФО,МПП,31503.0,2017,Число людей,Ростовский,установлен,да,не применимо,0
5,50.3678,103.279,Айнек-Гол,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Монголия,0
6,46.7337,48.0892,Аксарайский,ЮФО,ЖДПП,432808.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,0
7,50.894461,142.146687,Александровск-Сахалинский,ДФО,МПП,0.0,2017,Число людей,Владивостокский,установлен,нет,не применимо,0
8,49.8833,109.0667,Алтан,ДФО,АПП,0.0,2017,Число людей,Читинский,установлен,нет,Монголия,0
9,47.690284,131.073245,Амурзет,ДФО,СПП,20954.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика,160640
10,64.740179,177.507531,Анадырь,ДФО,МПП,146.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
11,64.713322,177.737705,Анадырь (Угольный),ДФО,ВПП,325.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
12,44.897531,37.304278,Анапа,ЮФО,МПП,3546.0,2017,Число людей,Сочинский,установлен,да,не применимо,0
13,45.002826,37.340337,Анапа (Витязево),ЮФО,ВПП,13087.0,2017,Число людей,Сочинский,установлен,да,не применимо,0
14,46.136665,33.646077,Армянск,ЮФО,АПП,1157566.0,2017,Число людей,Крымский,установлен,да,не применимо (Херсонская обл.),1460000
15,46.115953,33.702811,Армянск,ЮФО,ЖДПП,0.0,2017,Число людей,Крымский,установлен,да,не применимо (Херсонская обл.),0
16,64.528454,40.54068,Архангельск,СЗФО,МПП,11082.0,2017,Число людей,Мурманский,установлен,да,не применимо,0
17,64.595784,40.710779,Архангельск (Талаги),СЗФО,ВПП,107863.0,2017,Число людей,Мурманский,установлен,да,не применимо,1051200
18,50.3099,90.0221,Аспайты,СФО,АПП,0.0,2017,Число людей,Новосибирский,установлен,нет,Монголия,0
19,46.360711,48.037058,Астрахань,ЮФО,МПП,49525.0,2017,Число людей,Волгоградский,установлен,да,не применимо,0
20,46.287118,47.999856,Астрахань (Нариманово),ЮФО,ВПП,84630.0,2017,Число людей,Волгоградский,установлен,да,не применимо,0
21,54.372517,20.659173,Багратионовск,СЗФО,АПП,1015492.0,2017,Число людей,Калининградский,установлен,да,Республика Польша,0
22,54.3927,20.6475,Багратионовск,СЗФО,ЖДПП,0.0,2017,Число людей,Калининградский,установлен,нет,Республика Польша,0
23,53.36153,83.548411,Барнаул,СФО,ВПП,63264.0,2017,Число людей,Новосибирский,установлен,да,не применимо,876000
24,50.368527,35.756453,Безымено,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина,0
25,52.3835,33.4804,Белая Березка,ЦФО,АПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина,0
26,50.645132,36.570298,Белгород,ЦФО,ВПП,120744.0,2017,Число людей,Белгородский,установлен,да,не применимо,1095000
27,50.593234,36.605675,Белгород,ЦФО,ЖДПП,533098.0,2017,Число людей,Белгородский,установлен,да,Украина,0
28,63.064571,179.366523,Беринговский,ДФО,МПП,221.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
29,50.420907,127.407967,Благовещенск,ДФО,ВПП,61566.0,2017,Число людей,Хабаровский,установлен,да,не применимо,700800
30,50.249853,127.554133,Благовещенск,ДФО,СПП,763641.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика,2363400
31,50.252764,127.547584,Благовещенск-1,ДФО,ППП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика,0
32,59.948243,30.194517,Большой порт Санкт-Петербург,СЗФО,МПП,143801.0,2017,Число людей,Санкт-Петербургский,установлен,да,не применимо,0
33,48.347254,134.768252,Большой Уссурийский,ДФО,АПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика,0
34,69.655681,30.203183,Борисоглебск,СЗФО,АПП,270316.0,2017,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500
35,56.365225,101.702708,Братск,СФО,ВПП,126.0,2017,Число людей,Читинский,установлен,да,не применимо,0
36,57.538718,27.471549,Брунишево,СЗФО,АПП,44676.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика,0
37,60.931202,28.560617,Брусничное,СЗФО,АПП,2676976.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000
38,60.810182,28.737329,Брусничное (Сайменский канал),СЗФО,МПП,9916.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
39,53.21364,34.182827,Брянск,ЦФО,ВПП,246.0,2017,Число людей,Брянский,установлен,да,не применимо,0
40,53.213067,34.409548,Брянск-Льговский,ЦФО,ЖДПП,11870.0,2017,Число людей,Брянский,установлен,да,Украина,0
41,53.262436,34.405696,Брянск-Орловский,ЦФО,ЖДПП,658813.0,2017,Число людей,Брянский,установлен,да,Украина,0
42,49.609088,39.713156,Бугаевка,ЦФО,АПП,297787.0,2017,Число людей,Белгородский,установлен,да,не применимо (ЛНР),730000
43,54.006458,61.625926,Бугристое,УФО,АПП,1986085.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,2555000
44,56.356309,28.197336,Бурачки,СЗФО,АПП,563537.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика,1460000
45,53.796262,61.157583,Бускульский,УФО,ЖДПП,0.0,2017,Число людей,Уральский,установлен,нет,Республика Казахстан,0
46,60.840635,28.378262,Бусловская,СЗФО,ЖДПП,11226.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
47,50.078024,38.176687,Валуйки,ЦФО,АПП,57.0,2017,Число людей,Белгородский,установлен,да,не применимо (ЛНР),0
48,50.200012,38.120155,Валуйки,ЦФО,ЖДПП,70854.0,2017,Число людей,Белгородский,установлен,да,не применимо (ЛНР),0
49,49.088733,140.266393,Ванино,ДФО,МПП,27820.0,2017,Число людей,Хабаровский,установлен,да,не применимо,0
50,68.800279,57.984684,Варандей,СЗФО,МПП,0.0,2017,Число людей,Мурманский,установлен,да,не применимо,0
51,50.3108,36.5807,Вергелевка,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина,0
52,50.197641,37.638937,Вериговка,ЦФО,АПП,165646.0,2017,Число людей,Белгородский,установлен,да,Украина,0
53,46.724082,48.22708,Верхний Баскунчак,ЮФО,ЖДПП,15523.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,0
54,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2597753.0,2017,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640
55,49.5112,112.602049,Верхний Ульхун,ДФО,АПП,3791.0,2017,Число людей,Читинский,установлен,да,Монголия,0
56,47.1616,38.242846,Весело-Вознесенка,ЮФО,АПП,644760.0,2017,Число людей,Ростовский,установлен,да,не применимо (ДНР),2452800
57,51.211204,81.11318,Веселоярск,СФО,АПП,475134.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,700800
58,49.429484,46.795764,Вишневка,ЮФО,АПП,131497.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,0
59,43.105749,131.877652,Владивосток,ДФО,МПП,164402.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
60,43.396247,132.165299,Владивосток (Кневичи),ДФО,ВПП,828281.0,2017,Число людей,Владивостокский,установлен,да,не применимо,3854400
61,43.201899,44.60439,Владикавказ (Беслан),СКФО,ВПП,7266.0,2017,Число людей,Северо-Кавказский,установлен,да,не применимо,0
62,48.791462,44.353793,Волгоград (Гумрак),ЮФО,ВПП,104336.0,2017,Число людей,Волгоградский,установлен,да,не применимо,2628000
63,48.905176,39.918452,Волошино,ЮФО,АПП,0.0,2017,Число людей,Ростовский,установлен,да,не применимо (ЛНР),0
64,51.81262,39.225338,Воронеж (Чертовицкое),ЦФО,ВПП,154132.0,2017,Число людей,Белгородский,установлен,да,не применимо,1401600
65,54.646153,65.803555,Воскресенское,УФО,АПП,197026.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
66,42.727218,133.080673,Восточный,ДФО,МПП,70560.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
67,60.715429,28.750744,Выборг,СЗФО,ЖДПП,100032.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
68,60.711728,28.729694,Выборг,СЗФО,МПП,24909.0,2017,Число людей,Санкт-Петербургский,установлен,да,не применимо,0
69,60.620042,28.563961,Высоцк,СЗФО,МПП,20349.0,2017,Число людей,Санкт-Петербургский,установлен,да,не применимо,0
70,62.168784,30.635873,Вяртсиля,СЗФО,АПП,1237108.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,1496500
71,62.168005,30.641338,Вяртсиля,СЗФО,ЖДПП,2916.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
72,41.490063,48.064536,Гарах,СКФО,АПП,31674.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,0
73,49.6034,39.9757,Гартмашевка,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,нет,не применимо (ЛНР),0
74,44.593701,38.025046,Геленджик,ЮФО,ВПП,67.0,2017,Число людей,Сочинский,установлен,нет,не применимо,0
75,44.578298,38.022025,Геленджик,ЮФО,МПП,4530.0,2017,Число людей,Сочинский,установлен,нет,не применимо,0
76,51.286303,34.731497,Глушково,ЦФО,ЖДПП,0.0,2017,Число людей,Брянский,установлен,да,Украина,0
77,50.4348,35.8312,Головчино,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,Украина,0
78,50.511166,35.825004,Головчино,ЦФО,ЖДПП,0.0,2017,Число людей,Белгородский,установлен,да,Украина,0
79,50.972275,81.420538,Горняк,СФО,АПП,220413.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,350400
80,50.43093,35.591033,Грайворон,ЦФО,АПП,201751.0,2017,Число людей,Белгородский,установлен,да,Украина,1076750
81,43.384606,45.699198,Грозный (Северный),СКФО,ВПП,79432.0,2017,Число людей,Северо-Кавказский,установлен,да,не применимо,1226400
82,48.061967,39.843771,Гуково,ЮФО,АПП,1211260.0,2017,Число людей,Ростовский,установлен,да,не применимо (ЛНР),0
83,48.048718,39.939344,Гуково,ЮФО,ЖДПП,4480.0,2017,Число людей,Ростовский,установлен,да,не применимо (ЛНР),0
84,54.343023,22.298854,Гусев,СЗФО,АПП,601320.0,2017,Число людей,Калининградский,установлен,да,Республика Польша,0
85,51.468998,140.774103,Де-Кастри,ДФО,МПП,5985.0,2017,Число людей,Хабаровский,установлен,да,не применимо,0
86,42.056396,48.306587,Дербент,СКФО,ЖДПП,117636.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,0
87,53.482007,123.888834,Джалинда,ДФО,СПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика,0
88,45.976242,34.571801,Джанкой,ЮФО,АПП,1400747.0,2017,Число людей,Крымский,установлен,да,не применимо (Херсонская обл.),1825000
89,45.709549,34.387751,Джанкой,ЮФО,ЖДПП,0.0,2017,Число людей,Крымский,установлен,да,не применимо (Херсонская обл.),0
