,Сопредельное государство,Вид,Тип контроля,Процент контроля
0,Китайская Народная Республика,АПП,Таможенный,75.0
1,Республика Абхазия,АПП,Таможенный,100.0
2,Республика Абхазия,ЖДПП,Таможенный,100.0
3,Монголия,АПП,Таможенный,57.0
4,Республика Казахстан,ЖДПП,Таможенный,0.0
6,Китайская Народная Республика,СПП,Таможенный,55.0
8,Республика Польша,АПП,Таможенный,67.0
9,Республика Польша,ЖДПП,Таможенный,67.0
10,Украина,АПП,Таможенный,65.0
12,Украина,ЖДПП,Таможенный,73.0
14,Китайская Народная Республика,ППП,Таможенный,0.0
16,Королевство Норвегия,АПП,Таможенный,100.0
17,Латвийская Республика,АПП,Таможенный,100.0
18,Финляндская Республика,АПП,Таможенный,100.0
19,Финляндская Республика,МПП,Таможенный,100.0
22,Республика Казахстан,АПП,Таможенный,0.0
25,Финляндская Республика,ЖДПП,Таможенный,100.0
29,Республика Грузия,АПП,Таможенный,100.0
37,Азербайджанская Республика,АПП,Таможенный,100.0
44,Азербайджанская Республика,ЖДПП,Таможенный,100.0
47,Литовская Республика,АПП,Таможенный,100.0
52,Китайская Народная Республика,ЖДПП,Таможенный,75.0
56,Эстонская Республика,АПП,Таможенный,100.0
57,Эстонская Республика,ЖДПП,Таможенный,100.0
58,Эстонская Республика,ППП,Таможенный,100.0
66,утратило значение (Украина),МПП,Таможенный,100.0
107,Монголия,ЖДПП,Таможенный,100.0
111,Литовская Республика,ЖДПП,Таможенный,67.0
115,Республика Южная Осетия,АПП,Таможенный,100.0
140,Латвийская Республика,ЖДПП,Таможенный,50.0
142,Эстонская Республика,РПП,Таможенный,0.0
144,Литовская Республика,РПП,Таможенный,50.0
160,Эстонская Республика,ОПП,Таможенный,0.0
181,Китайская Народная Республика,РПП,Таможенный,100.0
183,Корейская Народно-Демократическая Республика,ЖДПП,Таможенный,100.0
185,Республика Казахстан,РПП,Таможенный,0.0
193,Китайская Народная Республика,АПП,Пограничный,75.0
194,Республика Абхазия,АПП,Пограничный,100.0
195,Республика Абхазия,ЖДПП,Пограничный,100.0
196,Монголия,АПП,Пограничный,57.0
197,Республика Казахстан,ЖДПП,Пограничный,90.0
199,Китайская Народная Республика,СПП,Пограничный,55.0
201,Республика Польша,АПП,Пограничный,67.0
202,Республика Польша,ЖДПП,Пограничный,67.0
203,Украина,АПП,Пограничный,65.0
205,Украина,ЖДПП,Пограничный,73.0
207,Китайская Народная Республика,ППП,Пограничный,0.0
209,Королевство Норвегия,АПП,Пограничный,100.0
210,Латвийская Республика,АПП,Пограничный,100.0
211,Финляндская Республика,АПП,Пограничный,100.0
212,Финляндская Республика,МПП,Пограничный,100.0
215,Республика Казахстан,АПП,Пограничный,100.0
218,Финляндская Республика,ЖДПП,Пограничный,100.0
222,Республика Грузия,АПП,Пограничный,100.0
230,Азербайджанская Республика,АПП,Пограничный,100.0
237,Азербайджанская Республика,ЖДПП,Пограничный,100.0
240,Литовская Республика,АПП,Пограничный,100.0
245,Китайская Народная Республика,ЖДПП,Пограничный,75.0
249,Эстонская Республика,АПП,Пограничный,100.0
250,Эстонская Республика,ЖДПП,Пограничный,100.0
251,Эстонская Республика,ППП,Пограничный,100.0
259,утратило значение (Украина),МПП,Пограничный,100.0
300,Монголия,ЖДПП,Пограничный,100.0
304,Литовская Республика,ЖДПП,Пограничный,67.0
308,Республика Южная Осетия,АПП,Пограничный,100.0
333,Латвийская Республика,ЖДПП,Пограничный,50.0
335,Эстонская Республика,РПП,Пограничный,0.0
337,Литовская Республика,РПП,Пограничный,50.0
353,Эстонская Республика,ОПП,Пограничный,0.0
374,Китайская Народная Республика,РПП,Пограничный,100.0
376,Корейская Народно-Демократическая Республика,ЖДПП,Пограничный,100.0
378,Республика Казахстан,РПП,Пограничный,100.0
386,Китайская Народная Республика,АПП,Санитарно-карантинный,75.0
