"","Наименование пункта пропуска","Филиал","latitude","longitude","Федеральный округ","Вид","Количество","Год","Категория","Установлен / закрыт","Функционирует/не функционирует"
"0","Абагайтуй","Читинский","49.5833","117.8167","ДФО","АПП","0","2017","Число людей","установлен","нет"
"5","Айнек-Гол","Читинский","50.3678","103.279","ДФО","АПП","0","2017","Число людей","установлен","нет"
"7","Александровск-Сахалинский","Владивостокский","50.894461","142.146687","ДФО","МПП","0","2017","Число людей","установлен","нет"
"8","Алтан","Читинский","49.8833","109.0667","ДФО","АПП","0","2017","Число людей","установлен","нет"
"15","Армянск","Крымский","46.115953","33.702811","ЮФО","ЖДПП","0","2017","Число людей","установлен","да"
"18","Аспайты","Новосибирский","50.3099","90.0221","СФО","АПП","0","2017","Число людей","установлен","нет"
"22","Багратионовск","Калининградский","54.3927","20.6475","СЗФО","ЖДПП","0","2017","Число людей","установлен","нет"
"24","Безымено","Белгородский","50.368527","35.756453","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"25","Белая Березка","Брянский","52.3835","33.4804","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"31","Благовещенск-1","Хабаровский","50.252764","127.547584","ДФО","ППП","0","2017","Число людей","установлен","нет"
"33","Большой Уссурийский","Хабаровский","48.347254","134.768252","ДФО","АПП","0","2017","Число людей","установлен","нет"
"45","Бускульский","Уральский","53.796262","61.157583","УФО","ЖДПП","0","2017","Число людей","установлен","нет"
"50","Варандей","Мурманский","68.800279","57.984684","СЗФО","МПП","0","2017","Число людей","установлен","да"
"51","Вергелевка","Белгородский","50.3108","36.5807","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"63","Волошино","Ростовский","48.905176","39.918452","ЮФО","АПП","0","2017","Число людей","установлен","да"
"73","Гартмашевка","Белгородский","49.6034","39.9757","ЦФО","ЖДПП","0","2017","Число людей","установлен","нет"
"76","Глушково","Брянский","51.286303","34.731497","ЦФО","ЖДПП","0","2017","Число людей","установлен","да"
"77","Головчино","Белгородский","50.4348","35.8312","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"78","Головчино","Белгородский","50.511166","35.825004","ЦФО","ЖДПП","0","2017","Число людей","установлен","да"
"87","Джалинда","Хабаровский","53.482007","123.888834","ДФО","СПП","0","2017","Число людей","установлен","нет"
"89","Джанкой","Крымский","45.709549","34.387751","ЮФО","ЖДПП","0","2017","Число людей","установлен","да"
"90","Диксон","Мурманский","73.505283051196","80.50357517791","СФО","МПП","0","2017","Число людей","установлен","нет"
"91","Долбино","Белгородский","50.7621","35.5521","ЦФО","ЖДПП","0","2017","Число людей","установлен","нет"
"93","Донецк (Северный)","Ростовский","48.34025","39.920856","ЮФО","АПП","0","2017","Число людей","установлен","нет"
"94","Дубки","Калининградский","55.066608","21.952485","СЗФО","АПП","0","2017","Число людей","установлен","да"
"96","Евпатория","Крымский","45.190034","33.373883","ЮФО","МПП","0","2017","Число людей","установлен","да"
"99","Железнодорожный","Калининградский","54.356622","21.323472","СЗФО","АПП","0","2017","Число людей","установлен","нет"
"101","Желтура","Читинский","50.4742","105.1031","ДФО","АПП","0","2017","Число людей","установлен","нет"
"108","Зерново","Брянский","52.192193","34.058658","ЦФО","АПП","0","2017","Число людей","установлен","нет"
"112","Иваново (Южный)","Центральный аппарат","56.942225012197","40.9305055","ЦФО","ВПП","0","2017","Число людей","установлен","нет"
"113","Ижевск","Волгоградский","55","55","ПФО","ВПП","0","2017","Число людей","установлен","нет"
"115","Илек-Пеньковка","Белгородский","50.751077","35.539322","ЦФО","ЖДПП","0","2017","Число людей","установлен","да"
"130","Кани-Курган","Хабаровский","50.197449","127.641475","ДФО","АПП","0","2017","Число людей","установлен","да"
"134","Кварцитный","Уральский","54.025807686913","61.745855156128","УФО","ЖДПП","0","2017","Число людей","установлен","нет"
