,Сопредельное государство,Вид,Количество ПП
0,Республика Казахстан,АПП,30
1,Республика Казахстан,ЖДПП,21
2,Украина,АПП,20
3,Монголия,АПП,14
4,Китайская Народная Республика,АПП,12
5,Украина,ЖДПП,11
6,Китайская Народная Республика,СПП,11
7,Финляндская Республика,АПП,10
8,Республика Польша,АПП,6
9,Финляндская Республика,ЖДПП,6
10,Литовская Республика,АПП,5
11,Эстонская Республика,АПП,4
12,Азербайджанская Республика,АПП,4
13,Латвийская Республика,ЖДПП,4
14,Латвийская Республика,АПП,4
15,Китайская Народная Республика,ЖДПП,4
16,Республика Польша,ЖДПП,3
17,Литовская Республика,ЖДПП,3
18,Литовская Республика,РПП,2
19,Монголия,ЖДПП,2
20,Эстонская Республика,ЖДПП,2
21,Финляндская Республика,МПП,1
22,Эстонская Республика,ОПП,1
23,Эстонская Республика,ППП,1
24,Эстонская Республика,РПП,1
25,Республика Грузия,АПП,1
26,Республика Южная Осетия,АПП,1
27,Республика Казахстан,РПП,1
28,Азербайджанская Республика,ЖДПП,1
29,Республика Абхазия,ЖДПП,1
30,Республика Абхазия,АПП,1
31,Королевство Норвегия,АПП,1
32,Корейская Народно-Демократическая Республика,ЖДПП,1
33,Китайская Народная Республика,РПП,1
34,Китайская Народная Республика,ППП,1
35,утратило значение (Украина),МПП,1
