,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
0,69.655681,30.203183,Борисоглебск,СЗФО,АПП,270316.0,2017,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500.0,2.47
1,60.931202,28.560617,Брусничное,СЗФО,АПП,2676976.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000.0,1.22
2,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2597753.0,2017,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640.0,1.81
3,59.376896,28.211033,Ивангород,СЗФО,АПП,3765083.0,2017,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000.0,1.47
5,55.278507,20.963083,Морское,СЗФО,АПП,229455.0,2017,Число людей,Калининградский,установлен,да,Литовская Республика,73000.0,3.14
6,51.216321,49.880509,Озинки,ПФО,АПП,1394660.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,1051200.0,1.33
7,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,549064.0,2017,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,317550.0,1.73
8,60.596099,27.913096,Торфяновка,СЗФО,АПП,2469696.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,1916250.0,1.29
10,69.655681,30.203183,Борисоглебск,СЗФО,АПП,257666.0,2018,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500.0,2.35
11,60.931202,28.560617,Брусничное,СЗФО,АПП,2719574.0,2018,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000.0,1.24
12,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2782820.0,2018,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640.0,1.94
13,59.376896,28.211033,Ивангород,СЗФО,АПП,3655929.0,2018,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000.0,1.43
15,55.278507,20.963083,Морское,СЗФО,АПП,244578.0,2018,Число людей,Калининградский,установлен,да,Литовская Республика,73000.0,3.35
16,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,480620.0,2018,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,317550.0,1.51
17,60.596099,27.913096,Торфяновка,СЗФО,АПП,2403572.0,2018,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,1916250.0,1.25
19,43.397314,40.002072,Адлер,ЮФО,АПП,10826224.0,2019,Число людей,Сочинский,установлен,да,Республика Абхазия,10220000.0,1.06
20,69.655681,30.203183,Борисоглебск,СЗФО,АПП,267895.0,2019,Число людей,Мурманский,установлен,да,Королевство Норвегия,109500.0,2.45
21,60.931202,28.560617,Брусничное,СЗФО,АПП,3062042.0,2019,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,2190000.0,1.4
22,42.768431,44.631185,Верхний Ларс,СКФО,АПП,3098034.0,2019,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640.0,2.16
24,49.632878,117.373814,Забайкальск,ДФО,АПП,1839366.0,2019,Число людей,Читинский,установлен,да,Китайская Народная Республика,1825000.0,1.01
25,59.376896,28.211033,Ивангород,СЗФО,АПП,3621503.0,2019,Число людей,Санкт-Петербургский,установлен,да,Эстонская Республика,2555000.0,1.42
27,55.278507,20.963083,Морское,СЗФО,АПП,282790.0,2019,Число людей,Калининградский,установлен,да,Литовская Республика,73000.0,3.87
28,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,431033.0,2019,Число людей,Северо-Кавказский,установлен,да,Азербайджанская Республика,317550.0,1.36
29,60.596099,27.913096,Торфяновка,СЗФО,АПП,2455333.0,2019,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,1916250.0,1.28
31,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,106512.0,2019,Число людей,Новосибирский,установлен,да,Монголия,106145.0,1.0
34,43.397314,40.002072,Адлер,ЮФО,АПП,11392851.0,2021,Число людей,Сочинский,установлен,да,Республика Абхазия,10220000.0,1.11
37,43.397314,40.002072,Адлер,ЮФО,АПП,11972069.0,2022,Число людей,Сочинский,установлен,да,Республика Абхазия,10220000.0,1.17
38,42.768431,44.631185,Верхний Ларс,СКФО,АПП,2453049.0,2022,Число людей,Северо-Кавказский,установлен,да,Республика Грузия,1436640.0,1.71
42,43.397314,40.002072,Адлер,ЮФО,АПП,1769178.0,2017,Легковые транспортные средства,Сочинский,установлен,да,Республика Абхазия,456250.0,3.88
43,54.372517,20.659173,Багратионовск,СЗФО,АПП,638904.0,2017,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,328500.0,1.94
44,60.931202,28.560617,Брусничное,СЗФО,АПП,883233.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,547500.0,1.61
45,42.768431,44.631185,Верхний Ларс,СКФО,АПП,630947.0,2017,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,73000.0,8.64
46,62.168784,30.635873,Вяртсиля,СЗФО,АПП,705582.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,255500.0,2.76
48,54.343023,22.298854,Гусев,СЗФО,АПП,433845.0,2017,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,273750.0,1.58
51,59.376896,28.211033,Ивангород,СЗФО,АПП,524479.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика,438000.0,1.2
53,64.545064,29.994016,Люття,СЗФО,АПП,211195.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,80300.0,2.63
54,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,547188.0,2017,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,164250.0,3.33
56,55.278507,20.963083,Морское,СЗФО,АПП,83087.0,2017,Легковые транспортные средства,Калининградский,установлен,да,Литовская Республика,58400.0,1.42
57,50.338847,36.28717,Нехотеевка,ЦФО,АПП,806926.0,2017,Легковые транспортные средства,Белгородский,установлен,да,Украина,700800.0,1.15
58,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,380499.0,2017,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,6.13
60,61.123856,28.841682,Светогорск,СЗФО,АПП,702634.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,669410.0,1.05
61,65.798791,30.109591,Суоперя,СЗФО,АПП,47672.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,36500.0,1.31
62,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,154334.0,2017,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,51100.0,3.02
63,60.596099,27.913096,Торфяновка,СЗФО,АПП,874626.0,2017,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,766500.0,1.14
64,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,17390.0,2017,Легковые транспортные средства,Новосибирский,установлен,да,Монголия,15548.0,1.12
65,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,215720.0,2017,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,65700.0,3.28
66,43.397314,40.002072,Адлер,ЮФО,АПП,1916149.0,2018,Легковые транспортные средства,Сочинский,установлен,да,Республика Абхазия,456250.0,4.2
67,54.372517,20.659173,Багратионовск,СЗФО,АПП,582412.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,328500.0,1.77
68,60.931202,28.560617,Брусничное,СЗФО,АПП,873748.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,547500.0,1.6
69,42.768431,44.631185,Верхний Ларс,СКФО,АПП,662064.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,73000.0,9.07
70,62.168784,30.635873,Вяртсиля,СЗФО,АПП,653167.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,255500.0,2.56
71,50.43093,35.591033,Грайворон,ЦФО,АПП,121241.0,2018,Легковые транспортные средства,Белгородский,установлен,да,Украина,109500.0,1.11
73,54.343023,22.298854,Гусев,СЗФО,АПП,419214.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,273750.0,1.53
76,59.376896,28.211033,Ивангород,СЗФО,АПП,550966.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Эстонская Республика,438000.0,1.26
78,64.545064,29.994016,Люття,СЗФО,АПП,204620.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,80300.0,2.55
79,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,465173.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Республика Польша,164250.0,2.83
81,55.278507,20.963083,Морское,СЗФО,АПП,86516.0,2018,Легковые транспортные средства,Калининградский,установлен,да,Литовская Республика,58400.0,1.48
82,50.338847,36.28717,Нехотеевка,ЦФО,АПП,776580.0,2018,Легковые транспортные средства,Белгородский,установлен,да,Украина,700800.0,1.11
83,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,381466.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,62050.0,6.15
84,61.123856,28.841682,Светогорск,СЗФО,АПП,669635.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,669410.0,1.0
85,65.798791,30.109591,Суоперя,СЗФО,АПП,43107.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,36500.0,1.18
86,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,121810.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,51100.0,2.38
87,60.596099,27.913096,Торфяновка,СЗФО,АПП,820229.0,2018,Легковые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,766500.0,1.07
88,50.700218,92.069395,Хандагайты (Боршо),СФО,АПП,22106.0,2018,Легковые транспортные средства,Новосибирский,установлен,да,Монголия,15548.0,1.42
89,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,270140.0,2018,Легковые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,65700.0,4.11
