Unnamed: 0,latitude,longitude,ID,Филиал,Вид,Тип,Наименование пункта пропуска_y,Установлен / закрыт,Функционирует/не функционирует,84 приоритетные,Причины не функционирования,Распорядок работы,Классификация по виду международного сообщения,Дополнительная классификация по виду международного сообщения,Классификация по характеру международного сообщения,Классификация по режиму работы,Классификация по статусу,Классификация по пропуску,"Специализация: для ввоза на территорию РФ  животных, продукции животного происхождения, кормов, кормовых добавок, лекарственных средств для животных и подкарантинной продукции (подкарантинного материала, подкарантинного груза) (ПП РФ от 07.07.2011 № 557)","Специализация: для ввоза на территорию Российской  Федерации товаров, химических, биологических и радиоактивных веществ, отходов и иных грузов, представляющих опасность для человека (ПП РФ от 03.06.2011 № 442)","Специализация: для ввоза на территорию Российской Федерации пищевых продуктов, материалов и изделий (ПП РФ от 03.06.2011 № 442)",Сопредельное государство,Сопредельный пункт пропуска,Федеральный округ,Субъект РФ,Адрес,Принадлежность дороги,"Номер, название дороги",Группы АВС ,Рейтинг Приоритизации 2019 ,Направление МТК,Принадлежность к МТК,ГТС в сутки (по паспорту),ПТС в сутки (по паспорту),ЛТС в сутки (по паспорту),Всего ТС в сутки (по паспорту),Лиц в сутки (по паспорту),Грузы в сутки (по паспорту),ГТС в год (по паспорту),ПТС в год (по паспорту),ЛТС в год (по паспорту),Всего ТС в год (по паспорту),Лица в год (по паспорту),Грузы в год (по паспорту),ГТС 2017 (факт),ПТС 2017 (факт),ЛТС 2017 (факт),Всего ТС (ж.д. составы) за 2017 год (факт),ГТС 2018 (факт),ПТС 2018 (факт),ЛТС 2018 (факт),Всего ТС (ж.д. составы) за 2018 год (факт),ГТС 2019 (факт),ПТС 2019 (факт),ЛТС 2019 (факт),Всего ТС (ж.д. составы) за 2019 год (факт),ГТС 2020 (факт),ПТС 2020 (факт),ЛТС 2020 (факт),Всего ТС (ж.д. составы) за 2020 год (факт),ГТС 2021 (факт),ПТС 2021 (факт),ЛТС 2021 (факт),Всего ТС (ж.д. составы) за 2021 год (факт),ГТС 2022 (факт),ПТС 2022 (факт),ЛТС 2022 (факт),Всего ТС (ж.д. составы) за 2022 год (факт),Лица 2017 (факт),Лица 2018 (факт),Лица 2019 (факт),Лица 2020 (факт),Лица 2021 (факт),Лица 2022 (факт),"Грузы 2017, тонн (факт)","Грузы 2018, тонн (факт)","Грузы 2019, тонн (факт)","Грузы 2020, тонн (факт)","Грузы 2021, тонн (факт)","Грузы 2022, тонн (факт)",Пограничный контроль,Таможенный контроль,Санитарно-карантинный контроль,Ветеринарный контроль,Карантинный фитосанитарный контроль,Транспортный контроль,Сосед
0,49.5833,117.8167,ДАППАбагайтуйДФО,Читинский,АПП,ДАПП,Абагайтуй,установлен,нет,нет,"Пункт пропуска не обустроен, так как решение о целесообразности функционирования не принято, в том числе сопредельным государством",не определен,автомобильный,не определен,грузовой,работающий на нерегулярной основе,двусторонний,не определен,нет,нет,нет,Китайская Народная Республика,Эрка,ДФО,Забайкальский край,не определен,0,0,не определена,325,РК (сухопутный),Восток,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,нет,нет,нет,нет,нет,нет,Китайская Народная Республика
1,53.751561,91.400039,ВППАбаканСФО,Новосибирский,ВПП,ВПП,Абакан,установлен,да,нет,функционирует,круглосуточно,воздушный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,нет,нет,нет,не применимо,не применимо,СФО,Республика Хакасия,"Республика Хакасия, аэропорт,  г. Абакан, пр-т Дружбы Народов, 59",0,0,Группа С,289,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,1,1,0,2,9600,3.0,365,365,0,730,3504000,1095.0,8,57,0,65,18,348,0,366,74,382,0,456,85,17,0,102,147,4,0,151,266,5,0,271,9427,11500,12145,4273,1033,1670,70.822,164.698,70.96000000000001,0.0,68.908,9091.154999999999,да,да,да,да,да,нет,нет
2,43.397314,40.002072,МАППАдлерЮФО,Сочинский,АПП,МАПП,Адлер,установлен,да,да,функционирует,круглосуточно,автомобильный,пешеходный,грузо-пассажирский,постоянный,многосторонний,не определен,да,да,да,Республика Абхазия,Псоу,ЮФО,Краснодарский край,"Краснодарский край, г. Сочи, р-н Адлерский, с. Веселое,  ул. Таврическая",федеральная,А-147,Группа А,12,Западный,Север-Юг,150,100,1250,1500,28000,0.0,54750,36500,456250,547500,10220000,0.0,105498,89761,1769178,1964437,98509,93065,1916149,2107723,97161,95518,2137028,2329707,79709,52266,1398240,1530215,100691,103181,2347832,2551704,90346,82102,2388558,2561006,9635803,10022500,10826224,6454829,11392851,11972069,224437.0,174135.0,187833.0,204227.0,178396.661,337932.69,да,да,да,да,да,да,Республика Абхазия
3,43.40274645,39.99306761,ЖДППАдлерЮФО,Сочинский,ЖДПП,ЖДПП,Адлер,установлен,да,да,функционирует,круглосуточно,железнодорожный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,нет,да,да,Республика Абхазия,Псоу,ЮФО,Краснодарский край,"Краснодарский край, г. Сочи, Адлерский район, с. Весёлое железнодорожная станция «Весёлое»",0,0,Группа В,97,Западный,Север-Юг,3,3,0,6,2190,0.0,1095,1095,0,2190,799350,0.0,647,1059,0,1706,596,1046,0,1642,495,880,0,1375,279,470,0,749,460,1131,0,1591,734,1118,0,1852,336329,327887,336002,84218,329496,378987,220223.67,496640.0,430338.629,761927.5,466511.25,748754.7000000001,да,да,да,да,да,нет,Республика Абхазия
4,47.119011,39.417494,МППАзовЮФО,Ростовский,МПП,МПП,Азов,установлен,да,нет,функционирует,круглосуточно,морской,не определен,грузовой,постоянный,многосторонний,не определен,да,да,да,не применимо,не применимо,ЮФО,Ростовская область,"Ростовская область, г. Азов, в границах морского порта Азов",0,0,Группа В,73,Морской,АЧБ,1.901369863013699,0,0,1.901369863013699,0,7356.164383561644,694,0,0,694,0,2685000.0,2479,0,0,2479,3227,0,0,3227,2699,0,0,2699,2066,0,0,2066,2186,0,0,2186,1829,0,0,1829,31503,38424,33695,25428,27767,22932,4705484.0,5344792.0,4927410.0,4310688.0,4329087.0,2964654.7,да,да,да,да,да,нет,нет
5,50.3678,103.279,ДАППАйнек-ГолДФО,Читинский,АПП,ДАПП,Айнек-Гол,установлен,нет,нет,"Пункт пропуска не обустроен, так как решение о целесообразности функционирования не принято, в том числе сопредельным государством",не определен,автомобильный,не определен,грузо-пассажирский,работающий на нерегулярной основе,двусторонний,не определен,нет,нет,нет,Монголия,Бага-Илэнх-Гол,ДФО,Республика Бурятия,не определен,0,0,не определена,326,РМК,Восток,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,нет,нет,нет,нет,нет,нет,Монголия
6,46.7337,48.0892,ЖДППАксарайскийЮФО,Волгоградский,ЖДПП,ЖДПП,Аксарайский,установлен,да,нет,функционирует,круглосуточно,железнодорожный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,нет,нет,нет,Республика Казахстан,Ганюшкино,ЮФО,Астраханская область,"Астраханская область. Красноярский район, территория в пределах пограничных железнодорожных станций Аксарайская, Аксарайкая-2 и в соответствии с географическими координатами, утвержденными приказом Минтранса России от 20.02.2017 № 61",0,0,Группа А,63,Не является признаком отнесения к МТК,Не является признаком отнесения к МТК,0,0,0,0,0,0.0,0,0,0,0,0,0.0,8914,2583,0,11497,6919,2346,0,9265,6716,4300,0,11016,7990,1790,0,9780,7132,1509,0,8641,6529,1893,0,8422,432808,401587,391924,163223,60003,172351,0.0,0.0,0.0,0.0,0.0,0.0,да,нет,нет,нет,нет,нет,Республика Казахстан
7,50.894461,142.146687,МППАлександровск-СахалинскийДФО,Владивостокский,МПП,МПП,Александровск-Сахалинский,установлен,нет,нет,"Не функционирует по решению пограничного органа с 2009 г. Пункт пропуска не обустроен, так как решение о целесообразности функционирования не принято",не определен,морской,не определен,грузовой,постоянный,многосторонний,не определен,нет,нет,нет,не применимо,не применимо,ДФО,Сахалинская область,не определен,0,0,не определена,374,Морской,Арктика,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,нет,нет,нет,нет,нет,нет,нет
8,49.8833,109.0667,ДАППАлтанДФО,Читинский,АПП,ДАПП,Алтан,установлен,нет,нет,"Пункт пропуска не обустроен, так как решение о целесообразности функционирования не принято, в том числе сопредельным государством",не определен,автомобильный,не определен,грузо-пассажирский,работающий на нерегулярной основе,двусторонний,не определен,нет,нет,нет,Монголия,Агацын-Гол,ДФО,Забайкальский край,не определен,0,0,не определена,327,РМК,Восток,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,нет,нет,нет,нет,нет,нет,Монголия
9,47.690284,131.073245,СППАмурзетДФО,Хабаровский,СПП,СПП,Амурзет,установлен,да,нет,функционирует,"6-дневная рабочая неделя, выходной воскресенье и нерабочие праздничные дни в соответствии со ст. 112 ТК РФ, в навигационный период с 09.30 до 17.30, в период ледостава - с 9.00 до 17.30. Въезд пассажирского и грузового автотранспорта  прекращается за 30 минут до окончания работы пункта пропуска",смешанный,не определен,грузо-пассажирский,постоянный,многосторонний,не определен,нет,да,нет,Китайская Народная Республика,Лобэй,ДФО,Еврейская автономная область,"Еврейская автономная область, Октябрьский район, с. Амурзет, ул. Ленина, 91, 403 км. реки Средний Амур, 221 км. автодороги Биробиджан - Амурзет",региональная,Биробиджан-Амурзет в Ленинском и Октябрьском районах (99 ОП РЗ 99К-1),Группа В,35,РК (сухопутный),Восток,"речные суда (грузо-пассажирские) - 5, автотранспортные средства в навигационный период -25, в период ледостава - 32
",0,0,"речные суда (грузо-пассажирские) - 5, автотранспортные средства в навигационный период -25, в период ледостава - 32
",640,2000.0,"речные суда (грузо-пассажирские) - 780, автотранспортные средства в навигационный период -3 900, в период ледостава - 4160
",0,0,"речные суда (грузо-пассажирские) - 780, автотранспортные средства в навигационный период -3 900, в период ледостава - 4160
",160640,502000.0,3980,1138,0,5118,5177,728,0,5905,5300,558,0,5858,660,68,0,728,0,0,0,0,28,0,0,28,20954,18277,17608,1292,0,84,53803.0,63339.0,51474.0,7450.0,0.0,2830.2486,да,да,да,да,да,да,Китайская Народная Республика
