,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
0,Абагайтуй,Читинский,49.5833,117.8167,ДФО,АПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
2,Адлер,Сочинский,43.397314,40.002072,ЮФО,АПП,9635803,2017,Число людей,установлен,да,Республика Абхазия
3,Адлер,Сочинский,43.40274645,39.99306761,ЮФО,ЖДПП,336329,2017,Число людей,установлен,да,Республика Абхазия
5,Айнек-Гол,Читинский,50.3678,103.279,ДФО,АПП,0,2017,Число людей,установлен,нет,Монголия
6,Аксарайский,Волгоградский,46.7337,48.0892,ЮФО,ЖДПП,432808,2017,Число людей,установлен,да,Республика Казахстан
8,Алтан,Читинский,49.8833,109.0667,ДФО,АПП,0,2017,Число людей,установлен,нет,Монголия
9,Амурзет,Хабаровский,47.690284,131.073245,ДФО,СПП,20954,2017,Число людей,установлен,да,Китайская Народная Республика
18,Аспайты,Новосибирский,50.3099,90.0221,СФО,АПП,0,2017,Число людей,установлен,нет,Монголия
21,Багратионовск,Калининградский,54.372517,20.659173,СЗФО,АПП,1015492,2017,Число людей,установлен,да,Республика Польша
22,Багратионовск,Калининградский,54.3927,20.6475,СЗФО,ЖДПП,0,2017,Число людей,установлен,нет,Республика Польша
24,Безымено,Белгородский,50.368527,35.756453,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
25,Белая Березка,Брянский,52.3835,33.4804,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
27,Белгород,Белгородский,50.593234,36.605675,ЦФО,ЖДПП,533098,2017,Число людей,установлен,да,Украина
30,Благовещенск,Хабаровский,50.249853,127.554133,ДФО,СПП,763641,2017,Число людей,установлен,да,Китайская Народная Республика
31,Благовещенск-1,Хабаровский,50.252764,127.547584,ДФО,ППП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
33,Большой Уссурийский,Хабаровский,48.347254,134.768252,ДФО,АПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
34,Борисоглебск,Мурманский,69.655681,30.203183,СЗФО,АПП,270316,2017,Число людей,установлен,да,Королевство Норвегия
36,Брунишево,Псковский,57.538718,27.471549,СЗФО,АПП,44676,2017,Число людей,установлен,да,Латвийская Республика
37,Брусничное,Санкт-Петербургский,60.931202,28.560617,СЗФО,АПП,2676976,2017,Число людей,установлен,да,Финляндская Республика
38,Брусничное (Сайменский канал),Санкт-Петербургский,60.810182,28.737329,СЗФО,МПП,9916,2017,Число людей,установлен,да,Финляндская Республика
40,Брянск-Льговский,Брянский,53.213067,34.409548,ЦФО,ЖДПП,11870,2017,Число людей,установлен,да,Украина
41,Брянск-Орловский,Брянский,53.262436,34.405696,ЦФО,ЖДПП,658813,2017,Число людей,установлен,да,Украина
43,Бугристое,Уральский,54.006458,61.625926,УФО,АПП,1986085,2017,Число людей,установлен,да,Республика Казахстан
44,Бурачки,Псковский,56.356309,28.197336,СЗФО,АПП,563537,2017,Число людей,установлен,да,Латвийская Республика
45,Бускульский,Уральский,53.796262,61.157583,УФО,ЖДПП,0,2017,Число людей,установлен,нет,Республика Казахстан
46,Бусловская,Санкт-Петербургский,60.840635,28.378262,СЗФО,ЖДПП,11226,2017,Число людей,установлен,да,Финляндская Республика
51,Вергелевка,Белгородский,50.3108,36.5807,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
52,Вериговка,Белгородский,50.197641,37.638937,ЦФО,АПП,165646,2017,Число людей,установлен,да,Украина
53,Верхний Баскунчак,Волгоградский,46.724082,48.22708,ЮФО,ЖДПП,15523,2017,Число людей,установлен,да,Республика Казахстан
54,Верхний Ларс,Северо-Кавказский,42.768431,44.631185,СКФО,АПП,2597753,2017,Число людей,установлен,да,Республика Грузия
55,Верхний Ульхун,Читинский,49.5112,112.602049,ДФО,АПП,3791,2017,Число людей,установлен,да,Монголия
57,Веселоярск,Новосибирский,51.211204,81.11318,СФО,АПП,475134,2017,Число людей,установлен,да,Республика Казахстан
58,Вишневка,Волгоградский,49.429484,46.795764,ЮФО,АПП,131497,2017,Число людей,установлен,да,Республика Казахстан
65,Воскресенское,Уральский,54.646153,65.803555,УФО,АПП,197026,2017,Число людей,установлен,да,Республика Казахстан
67,Выборг,Санкт-Петербургский,60.715429,28.750744,СЗФО,ЖДПП,100032,2017,Число людей,установлен,да,Финляндская Республика
70,Вяртсиля,Санкт-Петербургский,62.168784,30.635873,СЗФО,АПП,1237108,2017,Число людей,установлен,да,Финляндская Республика
71,Вяртсиля,Санкт-Петербургский,62.168005,30.641338,СЗФО,ЖДПП,2916,2017,Число людей,установлен,да,Финляндская Республика
72,Гарах,Северо-Кавказский,41.490063,48.064536,СКФО,АПП,31674,2017,Число людей,установлен,да,Азербайджанская Республика
76,Глушково,Брянский,51.286303,34.731497,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,Украина
77,Головчино,Белгородский,50.4348,35.8312,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
78,Головчино,Белгородский,50.511166,35.825004,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,Украина
79,Горняк,Новосибирский,50.972275,81.420538,СФО,АПП,220413,2017,Число людей,установлен,да,Республика Казахстан
80,Грайворон,Белгородский,50.43093,35.591033,ЦФО,АПП,201751,2017,Число людей,установлен,да,Украина
84,Гусев,Калининградский,54.343023,22.298854,СЗФО,АПП,601320,2017,Число людей,установлен,да,Республика Польша
86,Дербент,Северо-Кавказский,42.056396,48.306587,СКФО,ЖДПП,117636,2017,Число людей,установлен,да,Азербайджанская Республика
87,Джалинда,Хабаровский,53.482007,123.888834,ДФО,СПП,0,2017,Число людей,установлен,нет,Китайская Народная Республика
91,Долбино,Белгородский,50.7621,35.5521,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,Украина
94,Дубки,Калининградский,55.066608,21.952485,СЗФО,АПП,0,2017,Число людей,установлен,да,Литовская Республика
99,Железнодорожный,Калининградский,54.356622,21.323472,СЗФО,АПП,0,2017,Число людей,установлен,нет,Республика Польша
100,Железнодорожный,Калининградский,54.35581,21.32322,СЗФО,ЖДПП,4179,2017,Число людей,установлен,да,Республика Польша
101,Желтура,Читинский,50.4742,105.1031,ДФО,АПП,0,2017,Число людей,установлен,нет,Монголия
103,Забайкальск,Читинский,49.632878,117.373814,ДФО,АПП,1767368,2017,Число людей,установлен,да,Китайская Народная Республика
104,Забайкальск,Читинский,49.638766,117.331686,ДФО,ЖДПП,34374,2017,Число людей,установлен,да,Китайская Народная Республика
106,Зауралье,Уральский,54.789484,65.945636,УФО,ЖДПП,12339,2017,Число людей,установлен,да,Республика Казахстан
107,Звериноголовское,Уральский,54.386677,64.805326,УФО,АПП,198636,2017,Число людей,установлен,да,Республика Казахстан
108,Зерново,Брянский,52.192193,34.058658,ЦФО,АПП,0,2017,Число людей,установлен,нет,Украина
109,Ивангород,Санкт-Петербургский,59.376896,28.211033,СЗФО,АПП,3765083,2017,Число людей,установлен,да,Эстонская Республика
110,Ивангород,Санкт-Петербургский,59.36793,28.233993,СЗФО,ЖДПП,119183,2017,Число людей,установлен,да,Эстонская Республика
111,Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,35920,2017,Число людей,установлен,да,Эстонская Республика
114,Илек,Уральский,51.492998,53.382564,ПФО,АПП,549491,2017,Число людей,установлен,да,Республика Казахстан
115,Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,Украина
116,"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,487154,2017,Число людей,установлен,да,Республика Казахстан
117,Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,4837,2017,Число людей,установлен,да,Финляндская Республика
119,Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,16905,2017,Число людей,установлен,да,Республика Казахстан
120,Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,773314,2017,Число людей,установлен,да,Республика Казахстан
121,Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,406342,2017,Число людей,установлен,да,Республика Казахстан
122,Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,30880,2017,Число людей,установлен,да,утратило значение (Украина)
123,Казанское,Уральский,55.393328,69.338667,УФО,АПП,438183,2017,Число людей,установлен,да,Республика Казахстан
